amount,duration,payments,DID,Average_order_amount,Average_trans_amount,Average_trans_balance,No_transaction,Card_type,No_inhabitants,Average_salary,Average_unemployment_rate,Average_crime_rate,gender,Owner_age,Same_district
172080,48,3585.0,198,3585.2,8530.79652605459,56994.92803970223,403,No,92084,10124,0.55,0.04412275748229877,female,449.0,True
288360,60,4806.0,107,4806.5,6030.290801186944,37991.92284866469,337,No,1204953,12541,0.36,0.07667684963645885,male,701.0,True
79632,24,3318.0,141,5029.666666666667,11875.196506550219,55904.032751091705,458,No,125832,8512,3.815,0.01728495136372306,female,420.0,True
189696,24,7904.0,134,3861.6,10046.324483775812,36164.188790560474,339,No,110643,8441,3.965,0.018668148911363574,female,295.0,True
98184,24,4091.0,111,4090.8,7505.368932038835,39696.395631067964,412,No,114200,8403,5.73,0.02134413309982487,female,592.0,True
76416,24,3184.0,669,5956.099999999999,6509.875471698113,40071.02452830189,530,No,1204953,12541,0.36,0.07667684963645885,male,688.0,True
316140,60,5269.0,683,5269.0,3866.727053140097,9629.374396135267,414,No,1204953,12541,0.36,0.07667684963645885,male,323.0,True
36684,12,3057.0,631,3057.0,4429.512761020882,26750.781902552204,431,No,51313,8930,3.86,0.027088651998518894,female,194.0,False
347952,48,7249.0,657,7248.8,11978.15931372549,65513.87745098039,408,No,45714,8843,3.21,0.018659491621822635,female,362.0,True
115992,36,3222.0,613,3816.5,9257.172727272728,53153.725454545456,550,classic,77917,8390,2.585,0.026964590525815933,male,691.0,False
104712,24,4363.0,691,4254.35,9564.798687089715,45250.45514223195,457,No,323870,10673,5.095,0.05732083860808349,male,603.0,True
126600,24,5275.0,693,5274.7,11348.714285714286,45819.17487684729,406,No,75637,9622,0.52,0.04630009122519402,male,673.0,False
15420,12,1285.0,667,2484.6666666666665,2940.85546875,34505.8671875,512,No,128118,9317,6.78,0.053938556643094646,female,357.0,False
31248,12,2604.0,570,2604.5,11484.329383886256,60424.601895734595,422,No,1204953,12541,0.36,0.07667684963645885,female,669.0,True
99696,48,2077.0,646,2077.0,11360.48717948718,54881.855477855475,429,No,88757,8554,2.575,0.022758768322498506,female,284.0,False
205200,36,5700.0,541,4739.325,8622.544326241135,56266.304964539006,564,No,161954,8720,4.115,0.02278424737888536,female,382.0,False
36396,12,3033.0,671,4076.0,9881.052863436124,53966.42290748899,454,No,1204953,12541,0.36,0.07667684963645885,male,277.0,False
103680,60,1728.0,604,1728.0,4089.8845070422535,21089.54366197183,355,No,95907,8388,2.675,0.017339714515103175,male,284.0,True
398640,60,6644.0,512,6643.7,14412.4463840399,67899.07481296758,401,No,323870,10673,5.095,0.05732083860808349,female,418.0,True
158760,60,2646.0,672,3412.375,4346.201886792453,22880.637735849057,530,No,78955,9060,2.11,0.021353935786207333,male,207.0,True
20832,48,434.0,550,1227.4,2197.6311336717426,20476.82233502538,591,No,85852,8965,7.655,0.031886269393840566,male,560.0,True
68112,12,5676.0,532,3753.0,9235.305699481865,53222.272884283244,579,No,138032,8819,5.52,0.03103628144198447,female,205.0,False
48624,24,2026.0,521,3269.85,11259.180527383367,70446.04665314402,493,No,139012,8363,3.005,0.01928970160849423,male,399.0,False
177744,48,3703.0,511,3702.8,9726.309133489462,51253.644028103045,427,classic,161227,8678,5.75,0.029694157926401905,male,273.0,False
168984,24,7041.0,571,7040.7,10103.813627254509,63229.392785571144,499,No,1204953,12541,0.36,0.07667684963645885,male,227.0,True
331560,60,5526.0,571,4637.0,6547.144086021505,57196.320430107524,465,junior,107870,8754,4.07,0.035561323815704086,male,171.0,False
28248,24,1177.0,557,1177.0,7888.606232294617,60557.29178470255,353,gold,162580,9538,1.66,0.03533337433878706,female,300.0,True
192552,24,8023.0,440,8022.8,9353.382585751979,37400.72823218998,379,No,70646,8547,3.145,0.021975766497749342,female,370.0,True
482940,60,8049.0,477,3957.5,3753.983277591973,19822.57357859532,598,No,1204953,12541,0.36,0.07667684963645885,female,222.0,True
31728,24,1322.0,568,3671.0,4838.600461893764,35077.4064665127,433,No,1204953,12541,0.36,0.07667684963645885,male,539.0,True
63360,60,1056.0,638,3225.0,3107.937655860349,29107.09476309227,401,No,75685,8208,2.075,0.024991742088921187,male,477.0,True
97224,24,4051.0,531,3758.6666666666665,3752.4853556485355,34073.24476987448,478,No,122603,8991,1.7,0.04270287023971681,female,526.0,False
76680,24,3195.0,545,5282.666666666667,9683.55064456722,54558.900552486186,543,No,228848,9893,4.405,0.025147696287492135,male,554.0,True
60000,60,1000.0,658,1970.0,2606.229759299781,36819.183807439826,457,No,226122,8994,4.295,0.041747375310673,male,584.0,False
137880,60,2298.0,486,2298.2,6432.686567164179,33760.87313432836,402,No,78955,9060,2.11,0.021353935786207333,male,382.0,False
265320,36,7370.0,643,5602.5,5305.19955654102,39222.47893569845,451,No,51428,8402,3.555,0.020397448860542896,female,561.0,False
87216,48,1817.0,616,1536.75,2768.095890410959,26392.900195694718,511,No,145688,8544,1.575,0.019304953050354182,female,494.0,False
199680,60,3328.0,412,3470.1,6712.5125,32837.6275,400,No,95616,9307,4.14,0.029576639892904953,male,546.0,False
158976,48,3312.0,518,2215.0,8464.090753424658,51315.477739726026,584,No,139012,8363,3.005,0.01928970160849423,male,674.0,True
47304,24,1971.0,516,5060.9,11533.810564663023,65872.04735883424,549,classic,197099,9624,1.955,0.022194430210198936,male,284.0,True
139536,24,5814.0,576,8267.25,11633.513513513513,56452.70478170478,481,No,117897,8814,5.25,0.017689169359695327,female,644.0,True
51408,24,2142.0,387,2142.0,12470.157248157248,63675.65847665848,407,classic,45714,8843,3.21,0.018659491621822635,male,544.0,True
164052,36,4557.0,367,4557.2,9456.969151670952,36316.57326478149,389,No,51313,8930,3.86,0.027088651998518894,female,230.0,True
417060,60,6951.0,558,4380.266666666666,6611.756501182033,42368.40189125296,423,No,45714,8843,3.21,0.018659491621822635,female,404.0,True
79920,60,1332.0,443,2634.0,6941.2770562770565,45950.92640692641,462,classic,170449,10787,2.865,0.03608704069839072,male,502.0,True
95808,12,7984.0,429,7984.3,14347.578571428572,66389.99523809523,420,No,122603,8991,1.7,0.04270287023971681,male,652.0,False
100980,60,1683.0,385,3211.0,4615.238095238095,41086.66917293233,399,No,387570,9897,1.78,0.04827128002683386,male,352.0,True
260028,36,7223.0,689,7107.400000000001,11962.228329809725,46606.323467230446,473,classic,75637,9622,0.52,0.04630009122519402,male,227.0,True
248148,36,6893.0,503,3267.5,5135.6061224489795,30375.148979591835,490,No,72541,8594,1.815,0.021401690078714106,female,657.0,True
187224,24,7801.0,504,7801.2,10410.881266490765,43980.704485488124,379,No,114200,8403,5.73,0.02134413309982487,male,570.0,False
465072,48,9689.0,541,9689.0,7604.507653061224,42890.663265306124,392,No,125832,8512,3.815,0.01728495136372306,male,566.0,True
221280,48,4610.0,389,6206.0,11057.847545219638,37825.62790697674,387,No,323870,10673,5.095,0.05732083860808349,male,322.0,True
98832,48,2059.0,696,1893.75,4209.079741379311,28207.450431034482,464,No,95907,8388,2.675,0.017339714515103175,female,303.0,True
43164,12,3597.0,363,3597.0,12862.1968503937,59798.343832021,381,No,117897,8814,5.25,0.017689169359695327,female,229.0,True
156672,36,4352.0,400,4482.5,3251.3215258855585,19727.604904632153,367,No,72541,8594,1.815,0.021401690078714106,female,467.0,True
270648,36,7518.0,307,7518.0,7433.629901960784,44437.72549019608,408,No,1204953,12541,0.36,0.07667684963645885,male,686.0,True
538500,60,8975.0,336,6790.0,7265.177285318559,31340.382271468145,361,No,95616,9307,4.14,0.029576639892904953,male,415.0,True
185952,48,3874.0,375,4249.35,9030.629213483146,46685.13764044944,356,No,125236,9675,7.055,0.04197275543773356,male,601.0,True
63252,12,5271.0,672,3457.2333333333336,8711.682222222222,45728.6,450,No,94725,9920,2.565,0.048218527315914486,female,559.0,True
71064,36,1974.0,403,2867.3333333333335,4549.591687041565,32609.19804400978,409,No,85852,8965,7.655,0.031886269393840566,female,583.0,True
45336,24,1889.0,489,3909.5,6783.614525139665,51307.85474860335,358,No,51428,8402,3.555,0.020397448860542896,male,460.0,True
76380,12,6365.0,246,3020.25,3044.8812351543943,17848.691211401427,421,No,1204953,12541,0.36,0.07667684963645885,female,450.0,True
266220,60,4437.0,522,3071.5,5007.325187969925,36648.234962406015,532,No,70646,8547,3.145,0.021975766497749342,female,367.0,True
151728,48,3161.0,271,3160.7,10353.278846153846,47080.875,416,No,323870,10673,5.095,0.05732083860808349,male,223.0,True
165120,60,2752.0,601,3867.0,3171.0,21484.50788643533,317,No,121947,8541,2.74,0.030074540579104036,female,549.0,True
104712,24,4363.0,569,8874.35,12920.593824228028,65320.49881235154,421,No,51313,8930,3.86,0.027088651998518894,female,302.0,True
92976,24,3874.0,569,8629.85,13005.119047619048,62734.05952380953,420,classic,51313,8930,3.86,0.027088651998518894,female,302.0,True
194880,48,4060.0,552,4322.25,7800.093085106383,38530.35372340425,376,junior,323870,10673,5.095,0.05732083860808349,male,191.0,True
134784,24,5616.0,288,5616.2,10682.74644549763,62732.0,422,No,285387,10177,7.19,0.03501561038169223,female,658.0,True
21396,12,1783.0,440,1783.2,4486.647840531561,29748.01661129568,301,No,58796,9045,3.365,0.03166882100823185,male,323.0,True
314520,60,5242.0,484,7857.0,14230.555555555555,59423.22222222222,441,No,105606,8254,3.275,0.021262996420657918,female,478.0,True
225420,60,3757.0,312,3757.0,5256.948881789137,34890.91693290735,313,No,117897,8814,5.25,0.017689169359695327,female,560.0,True
85860,60,1431.0,431,2917.0,3307.362559241706,41859.729857819904,422,classic,88884,8507,1.76,0.02718712029161604,female,478.0,True
231696,36,6436.0,476,4152.75,9992.614893617021,44400.98723404255,470,No,1204953,12541,0.36,0.07667684963645885,male,268.0,True
27984,12,2332.0,519,5274.5,9195.709480122325,42331.22324159021,327,No,139012,8363,3.005,0.01928970160849423,male,561.0,True
244368,48,5091.0,488,5091.3,13069.827777777778,63065.947222222225,360,No,114200,8403,5.73,0.02134413309982487,male,307.0,True
37908,12,3159.0,460,3159.0,7478.75,37719.62152777778,288,No,145688,8544,1.575,0.019304953050354182,female,233.0,True
128988,36,3583.0,551,3583.0,10054.09090909091,43608.5,308,No,70646,8547,3.145,0.021975766497749342,male,677.0,True
33984,48,708.0,367,708.0,4133.0752089136495,51764.98885793872,359,No,197099,9624,1.955,0.022194430210198936,male,276.0,True
20220,12,1685.0,343,5203.9,10737.254098360656,50401.45081967213,366,classic,81344,8899,3.68,0.03364722659323367,female,266.0,True
288468,36,8013.0,127,8013.0,6060.621761658031,33971.81865284974,386,No,86513,8288,4.155,0.01746558320714806,female,434.0,True
41952,12,3496.0,425,1900.95,5512.259860788863,34490.408352668215,431,No,161854,9425,2.11,0.024639489910660225,male,274.0,True
125340,60,2089.0,476,2900.9,9901.148619957537,65644.53715498939,471,No,1204953,12541,0.36,0.07667684963645885,male,618.0,True
68400,12,5700.0,167,5700.3,8930.942386831275,33456.97530864197,243,No,228848,9893,4.405,0.025147696287492135,female,226.0,True
189060,60,3151.0,203,4545.5,11889.734417344174,55426.55284552846,369,classic,149893,9753,4.845,0.03714649783512239,female,436.0,True
285600,60,4760.0,252,4760.0,13825.138036809816,58264.65950920245,326,No,95616,9307,4.14,0.029576639892904953,female,175.0,True
182040,60,3034.0,362,3034.0,14315.800653594772,69319.51307189543,306,classic,51428,8402,3.555,0.020397448860542896,female,535.0,True
18564,12,1547.0,128,2382.5,5503.721875,54388.89375,320,No,1204953,12541,0.36,0.07667684963645885,female,385.0,True
113796,36,3161.0,356,3149.2333333333336,5871.936416184971,31905.517341040464,346,No,387570,9897,1.78,0.04827128002683386,male,289.0,True
44088,24,1837.0,236,2605.0,5554.866666666667,43216.42,300,No,81344,8899,3.68,0.03364722659323367,female,529.0,True
99336,24,4139.0,330,4431.0,4162.06600660066,39104.214521452144,303,No,228848,9893,4.405,0.025147696287492135,female,183.0,True
204000,60,3400.0,366,5242.75,6724.876160990712,57193.650154798765,323,No,77917,8390,2.585,0.026964590525815933,male,619.0,True
135360,48,2820.0,363,2819.8,13284.576791808873,58129.095563139934,293,junior,102609,8187,5.14,0.02074379440399965,male,243.0,True
98592,24,4108.0,183,7319.15,8015.7767584097855,43995.259938837924,327,No,92084,10124,0.55,0.04412275748229877,female,378.0,True
198240,24,8260.0,160,7781.5,5316.4276315789475,27560.861842105263,304,No,118650,9832,3.9,0.050214917825537296,male,472.0,True
309600,48,6450.0,348,6450.2,13248.549152542373,66885.87457627119,295,No,226122,8994,4.295,0.041747375310673,male,246.0,True
309552,48,6449.0,241,10370.0,11944.724242424243,51495.42424242424,330,No,226122,8994,4.295,0.041747375310673,male,727.0,True
217152,36,6032.0,309,7233.9,11444.682242990653,56111.06542056075,321,classic,226122,8994,4.295,0.041747375310673,male,256.0,True
73056,48,1522.0,290,1772.0,2022.0544217687075,17913.54081632653,294,No,119895,10446,8.37,0.04041035906418116,male,299.0,True
29784,24,1241.0,125,1942.3333333333333,3406.5075528700904,39429.25377643504,331,No,170449,10787,2.865,0.03608704069839072,female,305.0,True
107640,24,4485.0,179,3308.6666666666665,10215.529745042493,57480.872521246456,353,No,88884,8507,1.76,0.02718712029161604,female,428.0,True
36168,12,3014.0,202,3953.125,5208.065445026178,30307.769633507854,382,No,1204953,12541,0.36,0.07667684963645885,male,409.0,True
191880,60,3198.0,272,4440.599999999999,10185.47512437811,55607.91293532338,402,No,103347,9104,1.79,0.022511538796481757,male,561.0,True
60156,36,1671.0,230,2392.0,8003.252669039146,38553.81850533808,281,No,93931,8427,1.33,0.020158414155071275,male,231.0,True
188688,48,3931.0,160,5366.9,7527.76821192053,48719.741721854305,302,No,197099,9624,1.955,0.022194430210198936,female,361.0,True
20352,48,424.0,283,2316.0,2931.6301369863013,25314.845890410958,292,No,109164,8757,3.665,0.021449378916126194,female,574.0,True
189696,24,7904.0,267,2960.95,7570.0506024096385,47063.621686746985,415,No,51428,8402,3.555,0.020397448860542896,male,603.0,True
21852,36,607.0,169,1912.8,4174.19806763285,56539.461352657,414,classic,125236,9675,7.055,0.04197275543773356,male,490.0,True
